Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2,0,516.31,6195.72,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.xlarge)"
My Estimate,US East (N. Virginia),ELB,Application Load Balancer,0,37.52,450.24,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),S3,S3 Standard,0,47.1,565.20,USD,S3 Standard storage (2 TB per month)
My Estimate,US East (N. Virginia),S3,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (0)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,5135.92,61631.04,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Quantity (1), Instance type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,401.49,4817.88,USD,Number of NAT Gateways (1)

Rationale:
Reduced RDS (for MySQL) memory allocation. My variable costs dropped from 9201.42 to 6,138.34 USD/month.
